key,label,category
3,0,Blues
4,1,Jazz
5,2,Classical
8,3,Old-Time__Historic
9,4,Country
10,5,Pop
12,6,Rock
13,7,Easy_Listening
14,8,Soul-RB
15,9,Electronic
17,10,Folk
18,11,Soundtrack
19,12,Funk
20,13,Spoken
21,14,Hip-Hop
25,15,Punk
26,16,Post-Rock
27,17,Lo-fi
31,18,Metal
38,19,Experimental
41,20,Electroacoustic
42,21,Ambient_Electronic
66,22,Indie-Rock
85,23,Garage
103,24,Singer-Songwriter
107,25,Ambient
109,26,Hardcore
181,27,Techno
182,28,House
183,29,Glitch
296,30,Dance
1235,31,Instrumental
