genre_id,genre_handle,model_genre_id,model_genre_handle
1,Avant-Garde,38,Experimental
3,Blues,3,Blues
4,Jazz,4,Jazz
5,Classical,5,Classical
6,Novelty,38,Experimental
7,Comedy,20,Spoken
8,Old-Time__Historic,8,Old-Time__Historic
9,Country,9,Country
10,Pop,10,Pop
11,Disco,14,Soul-RB
12,Rock,12,Rock
13,Easy_Listening,13,Easy_Listening
14,Soul-RB,14,Soul-RB
15,Electronic,15,Electronic
16,Sound_Effects,38,Experimental
17,Folk,17,Folk
18,Soundtrack,18,Soundtrack
19,Funk,19,Funk
20,Spoken,20,Spoken
21,Hip-Hop,21,Hip-Hop
22,Audio_Collage,38,Experimental
25,Punk,25,Punk
26,Post-Rock,26,Post-Rock
27,Lo-fi,27,Lo-fi
30,Field_Recordings,38,Experimental
31,Metal,31,Metal
32,Noise,38,Experimental
33,Psych-Folk,17,Folk
36,Krautrock,12,Rock
37,Jazz_Vocal,4,Jazz
38,Experimental,38,Experimental
41,Electroacoustic,41,Electroacoustic
42,Ambient_Electronic,42,Ambient_Electronic
43,Radio_Art,20,Spoken
45,Loud-Rock,12,Rock
47,Drone,38,Experimental
49,Free-Folk,17,Folk
53,Noise-Rock,12,Rock
58,Psych-Rock,12,Rock
63,Bluegrass,9,Country
64,Electro-punk,25,Punk
65,Radio,20,Spoken
66,Indie-Rock,66,Indie-Rock
70,Industrial,12,Rock
71,No_Wave,25,Punk
74,Free-Jazz,4,Jazz
76,Experimental_Pop,10,Pop
83,Nerdcore,21,Hip-Hop
85,Garage,85,Garage
88,New_Wave,12,Rock
89,Post-Punk,25,Punk
90,Sludge,12,Rock
94,Freak-folk,17,Folk
97,Jazz_Out,4,Jazz
98,Progressive,12,Rock
100,Alternative_Hip-Hop,21,Hip-Hop
101,Death-Metal,31,Metal
103,Singer-Songwriter,103,Singer-Songwriter
107,Ambient,107,Ambient
109,Hardcore,109,Hardcore
111,Power-Pop,25,Punk
113,Space-Rock,26,Post-Rock
125,Unclassifiable,38,Experimental
137,Americana,9,Country
138,Spoken_Weird,20,Spoken
166,Interview,20,Spoken
167,Black-Metal,31,Metal
169,Rockabilly,9,Country
170,Easy_Listening_Vocal,13,Easy_Listening
178,Be-Bop,4,Jazz
179,Big_BandSwing,4,Jazz
180,British_Folk,17,Folk
181,Techno,181,Techno
182,House,182,House
183,Glitch,183,Glitch
184,Minimal_Electronic,15,Electronic
185,Breakcore_-_Hard,15,Electronic
186,Sound_Poetry,38,Experimental
187,20th_Century_Classical,5,Classical
188,Poetry,20,Spoken
189,Talk_Radio,20,Spoken
224,Sound_Collage,38,Experimental
236,IDM,15,Electronic
240,Chiptune,15,Electronic
247,Musique_Concrete,38,Experimental
250,Improv,38,Experimental
267,New_Age,1235,Instrumental
286,Trip-Hop,15,Electronic
296,Dance,296,Dance
297,Chip_Music,15,Electronic
311,Lounge,13,Easy_Listening
314,Goth,12,Rock
322,Composed_Music,5,Classical
337,Drum_amp_Bass,15,Electronic
359,Shoegaze,12,Rock
360,Kid-Friendly,38,Experimental
361,Thrash,109,Hardcore
362,Synth_Pop,10,Pop
374,banter,20,Spoken
377,Deep_Funk,19,Funk
378,Spoken_Word,20,Spoken
400,Chill-out,182,House
401,Bigbeat,181,Techno
404,Surf,85,Garage
428,Radio_Theater,20,Spoken
439,Grindcore,31,Metal
440,Rock_Opera,12,Rock
441,Opera,5,Classical
442,Chamber_Music_1282,5,Classical
443,Choral_Music,5,Classical
444,Symphony,5,Classical
456,Minimalism_1456,38,Experimental
465,Musical_Theater,20,Spoken
468,Dubstep,15,Electronic
491,Skweee,15,Electronic
493,western_swing,9,Country
495,Downtempo,15,Electronic
514,Sound_Art,38,Experimental
538,compilation,18,Soundtrack
539,rap,21,Hip-Hop
542,breakbeat,21,Hip-Hop
567,Gospel,3,Blues
651,Country__Western,9,Country
659,Contemporary_Classical_1147,5,Classical
693,Wonky,21,Hip-Hop
695,Jungle,15,Electronic
806,hiphop,21,Hip-Hop
811,Hip-Hop_Beats,21,Hip-Hop
906,Modern_Jazz,4,Jazz
1235,Instrumental,1235,Instrumental
